"Word types: A = adjective, ADV = adverb, F = function word (non-specified), N = noun, NUM = numeral, V = verb.",,,,,,,,,,,
"AoA = Age of Acquisition, new = ratings collected for the present study, MRC = ratings (not specified for word class), available on the MRC Psycholinguistic Database (1997). Oxford: Medical Research Council.",,,,,,,,,,,
"Frequency = logarithm of combined written and spoken count divided by total words in corpus of Celex Database (Baayen, R.H., Piepenbrock, R. & Gulikers, L. (1995). The CELEX Lexical Database [CD ROM]. Philadelphia, PA: Linguistic Data Consortium, University of Pennsylvania).",,,,,,,,,,,
WORD,Word type,new AoA,new Imageability,MRC AoA,MRC Imageability,Frequency,AoA_Kup,Bird_recalc,Bird_recalc2,,
because,F,258,.,.,244,3.1205,4.441998,4.76206,4.90304456,,
become,V,336,.,.,259,2.922,5.85,6.28852,6.16217984,,
bee,N,193,.,228,623,1.2214,5,3.49001,3.99356196,,
before,F,246,.,.,255,2.3003,5.454413,4.52722,4.72557464,,
befriend,V,454,420,.,.,0.3263,8.5,8.59778,8.41487064,,
beggarman,N,397,510,.,.,-1.2218,#N/A,7.48229,7.27441236,,
begin,V,271,356,.,.,2.8354,4.84,5.01647,5.10019164,,
beginning,N,332,311,311,359,1.881,5.4,6.21024,6.09315696,,
behave,V,227,348,.,.,1.6636,4.28,4.15539,4.45343916,,
behind,F,227,.,.,371,2.4594,4.900249,4.15539,4.45343916,,
beige,N,452,476,.,.,-0.301,7.74,8.55864,8.37320016,,
being,N,456,343,383,323,1.9649,5.987263,8.63692,8.45666144,,
Belgium,N,473,488,.,.,1.0026,#N/A,8.96961,8.81674116,,
believe,V,336,320,.,.,2.6308,5.78,6.28852,6.16217984,,
belle,N,524,.,.,401,0.4192,10.36729,9.96768,9.94913904,,
belong,V,332,340,.,.,1.9183,6.47,6.21024,6.09315696,,
below,F,267,.,.,317,1.852,5.838065,4.93819,5.03898956,,
bend,V,246,.,.,460,1.8187,5.56,4.52722,4.72557464,,
beneath,F,294,482,.,.,1.3426,5.667553,5.46658,5.46144344,,
benefit,N,496,348,.,445,2.096,9.17,9.41972,9.31774464,,
