Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,pos_new,icon_eng,freq_eng,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
creak,V,387.0,0.9085,4.68,1.63,19.0,4.4,2.39,20.0,verb,1.923076923,2.48,0.0,3.61,1.42,0.0,28.0,26.0
cream,N,245.0,1.4795,6.56,1.95,18.0,3.8,2.78,20.0,noun,0.214285714,4.55,0.0,4.83,0.46,0.0,30.0,2484.0
creed,N,534.0,0.7642,5.25,1.68,20.0,3.67,1.85,18.0,noun,-0.357142857,3.76,0.0,2.1,0.98,0.0,29.0,129.0
crimson,N,389.0,0.2529,5.67,1.35,21.0,4.52,2.52,23.0,adjective,0.307692308,3.54,0.0,4.0,1.44,0.0,27.0,67.0
crocodile,N,316.0,0.7471,3.15,1.93,20.0,6.48,1.86,21.0,noun,1.0,3.49,0.0,4.83,0.64,0.0,24.0,115.0
crow,N,279.0,-1.5539,4.32,2.29,19.0,3.55,2.37,20.0,noun,1.909090909,3.81,0.0,4.93,0.26,0.0,28.0,227.0
cry,N,159.0,1.4681,3.22,2.41,18.0,5.45,2.82,20.0,verb,0.8666666670000001,4.62,0.0,4.0,1.25,0.0,29.0,3348.0
cure,V,392.0,1.3303,7.81,1.33,21.0,4.5,2.76,22.0,noun,-0.071428571,4.3,0.0,2.41,1.38,0.0,29.0,1063.0
curl,V,320.0,1.1833,5.72,1.67,18.0,3.05,1.79,20.0,verb,0.692307692,3.48,0.0,4.38,0.98,0.0,26.0,120.0
damage,N,344.0,1.6459,2.98,1.67,42.0,4.86,2.61,43.0,noun,1.615384615,4.89,0.0,3.2,1.29,0.0,25.0,1686.0
damage,V,361.0,1.568,2.98,1.67,42.0,4.86,2.61,43.0,noun,1.615384615,4.89,0.0,3.2,1.29,0.0,25.0,1686.0
dance,N,295.0,1.566,7.27,1.49,22.0,5.48,2.62,21.0,verb,0.153846154,4.93,0.0,4.32,1.22,0.0,28.0,7550.0
dance,V,269.0,1.8179,7.27,1.49,22.0,5.48,2.62,21.0,verb,0.153846154,4.93,0.0,4.32,1.22,0.0,28.0,7550.0
dash,V,333.0,1.1109,5.05,1.43,20.0,4.29,2.07,24.0,noun,2.454545455,3.94,0.0,3.39,1.4,0.0,28.0,308.0
day,N,204.0,2.9516,6.36,1.4,22.0,3.62,2.31,21.0,noun,-0.153846154,5.94,0.0,3.92,1.38,0.0,25.0,40893.0
deal,V,413.0,2.0192,6.14,1.52,22.0,3.9,2.39,21.0,noun,-0.538461538,5.32,0.0,3.1,1.18,0.0,29.0,13330.0
death,N,342.0,2.379,1.89,1.24,19.0,5.53,2.62,43.0,noun,0.7857142859999999,5.44,0.0,3.73,1.48,0.0,30.0,11051.0
deem,V,579.0,0.7686,4.74,1.28,19.0,3.29,1.65,21.0,verb,-0.583333333,3.39,0.0,2.1,1.42,0.0,29.0,30.0
defeat,N,416.0,1.3641,3.74,1.79,19.0,4.14,2.49,22.0,verb,0.076923077,4.53,0.0,2.96,1.5,0.0,28.0,580.0
